Time,X(CH1),X(CH2),
Second,Volt,Volt,
1.2366211e+02,4.60000e+00,8.24000e+00,
1.2369141e+02,4.60000e+00,8.24000e+00,
1.2372070e+02,4.56000e+00,8.24000e+00,
1.2375000e+02,4.56000e+00,8.24000e+00,
1.2377930e+02,4.56000e+00,8.24000e+00,
1.2380859e+02,4.56000e+00,8.24000e+00,
1.2383789e+02,4.60000e+00,8.24000e+00,
1.2386719e+02,4.60000e+00,8.24000e+00,
1.2389648e+02,4.60000e+00,8.24000e+00,
1.2392578e+02,4.56000e+00,8.24000e+00,
1.2395508e+02,4.60000e+00,8.24000e+00,
1.2398438e+02,4.60000e+00,8.24000e+00,
1.2401367e+02,4.60000e+00,8.24000e+00,
1.2404297e+02,4.56000e+00,8.24000e+00,
1.2407227e+02,4.60000e+00,8.24000e+00,
1.2410156e+02,4.60000e+00,8.24000e+00,
1.2413086e+02,4.60000e+00,8.24000e+00,
1.2416016e+02,4.60000e+00,8.24000e+00,
1.2418945e+02,4.60000e+00,8.24000e+00,
1.2421875e+02,4.56000e+00,8.24000e+00,
1.2424805e+02,4.60000e+00,8.24000e+00,
1.2427734e+02,4.60000e+00,8.24000e+00,
1.2430664e+02,4.60000e+00,8.24000e+00,
1.2433594e+02,4.60000e+00,8.24000e+00,
1.2436523e+02,4.60000e+00,8.24000e+00,
1.2439453e+02,4.60000e+00,8.24000e+00,
1.2442383e+02,4.60000e+00,8.24000e+00,
1.2445313e+02,4.60000e+00,8.24000e+00,
1.2448242e+02,4.60000e+00,8.24000e+00,
1.2451172e+02,4.60000e+00,8.24000e+00,
1.2454102e+02,4.60000e+00,8.24000e+00,
1.2457031e+02,4.60000e+00,8.24000e+00,
1.2459961e+02,4.60000e+00,8.24000e+00,
1.2462891e+02,4.60000e+00,8.24000e+00,
1.2465820e+02,4.60000e+00,8.24000e+00,
1.2468750e+02,4.60000e+00,8.24000e+00,
1.2471680e+02,4.60000e+00,8.24000e+00,
1.2474609e+02,4.60000e+00,8.24000e+00,
1.2477539e+02,4.60000e+00,8.24000e+00,
1.2480469e+02,4.60000e+00,8.24000e+00,
1.2483398e+02,4.60000e+00,8.24000e+00,
1.2486328e+02,4.60000e+00,8.24000e+00,
